01/06/1991	0	start
01/08/1996	292717	A Game of Thrones
25/08/1998	15427	The Hedge Knight
01/02/1999	318903	A Clash of Kings
01/11/2000	414604	A Storm of Swords
30/12/2003	27587	The Sworn Sword
01/11/2005	295032	A Feast for Crows
16/03/2010	18875	The Mystery Knight
01/07/2011	414788	A Dance with Dragons
03/12/2013	35000	The Princess and the Queen
17/06/2014	10000	The Rogue Prince
10/10/2017	11550	The Sons of the Dragon
01/01/2018	350000	The Winds of Winter
